id	priority	repository	state	scope	title	evidence	owner_route	closure_condition
PLATFORM-F08	P2	platform	REQUIRES_LIVE_REVALIDATION	phase_aware	Historical canary branch lifecycle	PLATFORM-1294 | Historical source publication canary branches are not assumed still present or safe to delete.	Oteryn/Oteryn-Platform#451; audit #1294	Read exact refs and PR/task ownership; apply existing terminal lifecycle only to proven terminal branches.
PLATFORM-F09	P2	platform	CONFIRMED_SOURCE	phase_aware	README local SQLite setup omits migration	PLATFORM-1294 | Current README lines30-40 creates database.sqlite and starts server without explicit migrations.	Oteryn/Oteryn-Platform#451; audit #1294	Qualify clean installation and document required migration/seeding path with safe environment boundaries.
PLATFORM-F10	P3	platform	OPEN_INHERITED	phase_aware	Wallet depends on Marketplace exception	PLATFORM-1294 | Historical module-boundary coupling retained, not a claim of payment malfunction.	Oteryn/Oteryn-Platform#451; audit #1294	Use a provider-appropriate domain exception or document/accept the dependency with tests.
PLATFORM-F11	P2	platform	CONFIRMED_SOURCE	phase_aware	Gateway shutdown is not joined to process lifetime	PLATFORM-1294 | Current main.go starts Shutdown in a goroutine; ListenAndServe returning ErrServerClosed permits main to return before shutdown finishes.	Oteryn/Oteryn-Platform#451; audit #1294	Join shutdown completion and test in-flight requests, deadlines, repeated signals and terminal process exit.
PLATFORM-F12	P2	platform	CONFIRMED_SOURCE	phase_aware	Synology path routing omits root lang	PLATFORM-1294 | Current image workflow omits lang/** although root context is used; no build/deploy was launched.	Oteryn/Oteryn-Platform#451; audit #1294	Map every image input to a selected build profile and include lang/** plus real routing negative/positive controls.
PLATFORM-F13	P2	platform	CONFIRMED_SOURCE	phase_aware	Image publication is independent of deployment validation	PLATFORM-1294 | build has no needs: validate-deployment; later deploy-staging depends on both. Staging sequencing is improved, but image publication can precede failed validation.	Oteryn/Oteryn-Platform#451; audit #1294	Specify artifact publication acceptance; enforce any required validation before publication without re-coupling slow remote deployment.
PLATFORM-F14	P2	platform	CONFIRMED_SOURCE	phase_aware	Docker build context broader than necessary	PLATFORM-1294 | Root .dockerignore is absent from exact Git tree and image workflow uses context: .; no sensitive-value exposure is inferred.	Oteryn/Oteryn-Platform#451; audit #1294	Bound image-specific context with explicit exclusions and prove required build inputs remain included.
PLATFORM-F15	P2	platform	OPEN_INHERITED	phase_aware	Recovery password lacks bounded upper input	PLATFORM-1294 | Current recovery service hashes newPassword; full request validation chain was not requalified for the historical finding.	Oteryn/Oteryn-Platform#451; audit #1294	Set a justified pre-hash input bound and test request and service boundaries without weakening password handling.
PLATFORM-F16	P1	platform	REPRODUCED	current_main	Runtime changes can become docs-only	PLATFORM-1294 | Exact current classifier and gate reproduced two false negatives out of eight real Git cases; all28 policy fixtures and29 existing tests pass. Historical H01 is this same finding, not another one.	Oteryn/Oteryn-Platform#451; audit #1294	Status-aware NUL-delimited diff preserves both rename sides and type/mode/symlink changes; real Git regressions and fail-closed unknown statuses.
PLATFORM-H02	UNRATED	platform	UNVERIFIED_HYPOTHESIS	phase_aware	Concurrent credential change during login	PLATFORM-1294 | Historical hypothesis not tested: credentials checked before session establishment may cross a generation revocation. No exploit or defect is asserted.	Oteryn/Oteryn-Platform#451; audit #1294	Pause login after verification, change/revoke credentials, resume session establishment and require fail-closed current-generation binding.
ATLAS-F01	P1	atlas	REGRESSION_VERIFIED	historical_remediation	Canonical Python/JavaScript identity parity	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #355 | 7 cross-language vectors plus additional canonical controls passed in current Node run.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F02	P1	atlas	REGRESSION_VERIFIED	historical_remediation	Publication output-root safety	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #383 | 6 isolated Python output-safety tests passed, including overlap and failed-promotion rollback; no real publication.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F03	P1	atlas	REPORTED_CLOSED	historical_remediation	Exact obsolete verification deletion authority	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #362 | Issue315 records protected exact obsolete-contract inventory replacing wildcard deletion authority; no fresh control-plane bypass experiment.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F04	P2	atlas	REGRESSION_VERIFIED	historical_remediation	Persistent cache failure degradation	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #382 | Current injected cache-open/get/put failure/corruption regressions passed.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F05	P2	atlas	REGRESSION_VERIFIED	historical_remediation	Bound response reads before allocation	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #382 | Current stream-boundary test rejects oversized data without unbounded arrayBuffer; source-contract assertions have narrower scope than end-to-end proof.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F06	P2	atlas	REPORTED_CLOSED	historical_remediation	Post-quantization coordinate bounds	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #353 | Protected completion recorded in Issue315; coordinate suite not rerun here.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F07	P2	atlas	REGRESSION_VERIFIED	historical_remediation	Range cache accounting and in-flight sharing	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #382 | Current tests prove same-key in-flight sharing and single resident-byte accounting.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F08	P2	atlas	REGRESSION_VERIFIED	historical_remediation	Resolved URL confinement	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #382 | Current encoded traversal/scheme/path-prefix tests reject before invoking injected fetcher.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F09	P2	atlas	REPORTED_CLOSED	historical_remediation	Current E2E topology documentation	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #352 | Issue315 lists protected documentation correction; full product E2E remains unqualified.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F10	P2	atlas	REPORTED_CLOSED	historical_remediation	npm/Playwright update coverage	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #352 | Protected dependency-update coverage correction recorded; not a CVE-clean result.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F11	P2	atlas	REPORTED_CLOSED	historical_remediation	Negative-floor parser grammar	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #358 | Protected parser correction recorded; compiler/parser full matrix not rerun.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F12	P2	atlas	REGRESSION_VERIFIED	historical_remediation	Per-CDP-RPC deadline	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #358 | 3 current fake-WebSocket tests prove success, per-RPC timeout and outer deadline rejection; no actual browser qualification.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F13	P2	atlas	REPORTED_CLOSED	historical_remediation	Gameplay capability split	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #358 | Source split recorded complete; follow-up impact routing #376 is separate and remains open.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F14	P2	atlas	REPORTED_CLOSED	historical_remediation	Live operations/recovery documentation	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #352 | Runbook correction recorded; current release DR remains an explicit unknown.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F15	P3	atlas	REPORTED_CLOSED	historical_remediation	README scope	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #352 | Protected current-scope README correction recorded.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
ATLAS-F16	P3	atlas	LIVE_RECORD_RECONCILED	historical_remediation	Lifecycle current-state authority	ATLAS-342 | Oteryn/Oteryn-Atlas#315 | PR #362 | Current Issue315 opening body explicitly records the paused restoration state and F01-F16 closure.	Oteryn/Oteryn-Atlas#315	Retain scoped regression and exact protected source evidence; do not infer restored verification/publication permission.
RECOVERY-001	UNRATED	meta	REPORTED_IMPLEMENTED_NOT_REQUALIFIED	operations_unknown	Independent repository backup	RECOVERY-59 | Latest handoff reports daily Git bundles,30-day retention and four-repository isolated restore; no fresh NAS inspection.	Oteryn/Oteryn#59 / #60	Dated schedule/retention verification plus new exact ref/bundle restore proof.
RECOVERY-002	UNRATED	meta	REPORTED_OPEN	operations_unknown	GitHub metadata recovery	RECOVERY-59 | Latest handoff reports non-durable/incomplete exporter after rate-limit failure.	Oteryn/Oteryn#59 / #60	Independent sanitized Issues/PR/rules metadata snapshot with bounded reconstruction drill.
RECOVERY-003	UNRATED	meta	REPORTED_OPEN	operations_unknown	Package/release artifact recovery	RECOVERY-59 | Latest handoff reports missing read:packages capability and incomplete independent recovery source.	Oteryn/Oteryn#59 / #60	Authorized inventory plus digest-pinned independent artifact retention and non-destructive republish validation.
RECOVERY-004	UNRATED	meta	REPORTED_OPEN	operations_unknown	Independent secret recovery governance	RECOVERY-59 | Independent secret-value source remains required; no values were accessed.	Oteryn/Oteryn#59 / #60	Verify ownership, nonsecret inventory and recovery procedure without exposing secret values.
RECOVERY-005	UNRATED	meta	OWNER_DECISION_PENDING	operations_unknown	Second independent recovery identity	RECOVERY-59 | Handoff requests a second account; current organization owner count is not freshly verified.	Oteryn/Oteryn#59 / #60	Owner selects/authorizes an independent recovery path and supplies dated safe verification.
RECOVERY-006	UNRATED	meta	REPORTED_OPEN	operations_unknown	Production backup/restore RPO/RTO	RECOVERY-59 | Current product data restore and RPO/RTO remain unproven in retained programme.	Oteryn/Oteryn#59 / #60	Approved current-release/data snapshot restore, application smoke, rollback and measured RPO/RTO.
RECOVERY-007	UNRATED	meta	HISTORICAL_TERMINAL	operations_unknown	Prior recovery closure	RECOVERY-59 | Issue59 explicitly excludes already terminal GAP007 from reopened scope.	Oteryn/Oteryn#59 / #60	Do not reopen without new invalidating evidence.
GAME-CANDIDATE-361	P1	game	REPORTED_OPEN_CANDIDATE	unmerged_candidate	Retired-session nonreuse across multiple replacements	GAME-361 | Review3948631113 describes S0->S1->S2->reuse S1; source head/body drift means this is not a fresh exact-head candidate acceptance review.	Oteryn/Oteryn-Game#353 / #361; WP4 #329 / #335	Persist/reload complete retired-session authority; reject retired S1 through Terminal/Complete/PostGrace and restart without duplicate effects; qualify final exact candidate.
ATLAS-ROUTING-376	P2	atlas	REPORTED_OPEN	restoration_preparation	Gameplay split impact routing follow-up	ATLAS-376 | Issue376 explicitly separates routing debt from F01-F16 remediation closure.	Oteryn/Oteryn-Atlas#376 / #315	Select gameplay functional and bounded real-source contract proof for isolated profile/spec changes; no real_fullworld escalation or restoration without applicable authority.
